config_name,weights,avg_score,max_score_overall,min_score_overall,avg_max_tile,2048_plus_count,2048_plus_percent
config_001,"{""empty"": 276.643, ""mono"": 1.015, ""smooth"": 0.117, ""corner"": 953.175}",7014.6,15152,1536,486.4,0,0.0
config_002,"{""empty"": 217.244, ""mono"": 0.977, ""smooth"": 0.092, ""corner"": 1175.029}",8356.6,16312,1440,652.8,0,0.0
config_003,"{""empty"": 203.844, ""mono"": 1.04, ""smooth"": 0.103, ""corner"": 1070.62}",9032.4,20920,2444,678.4,1,5.0
config_004,"{""empty"": 244.251, ""mono"": 0.938, ""smooth"": 0.108, ""corner"": 1036.075}",5981.2,11952,1680,441.6,0,0.0
config_005,"{""empty"": 257.975, ""mono"": 1.051, ""smooth"": 0.081, ""corner"": 914.329}",8832.6,21260,1724,710.4,1,5.0
config_006,"{""empty"": 221.099, ""mono"": 1.017, ""smooth"": 0.11, ""corner"": 981.778}",6400.8,14768,2508,441.6,0,0.0
config_007,"{""empty"": 227.139, ""mono"": 1.106, ""smooth"": 0.103, ""corner"": 1103.942}",8098.0,17420,3140,563.2,0,0.0
config_008,"{""empty"": 224.523, ""mono"": 0.913, ""smooth"": 0.099, ""corner"": 938.877}",8956.6,17392,2400,614.4,0,0.0
config_009,"{""empty"": 285.97, ""mono"": 0.852, ""smooth"": 0.103, ""corner"": 809.769}",8907.4,20352,1700,710.4,1,5.0
config_010,"{""empty"": 265.249, ""mono"": 1.1, ""smooth"": 0.096, ""corner"": 957.426}",7528.0,20976,2460,569.6,1,5.0
config_011,"{""empty"": 274.596, ""mono"": 1.011, ""smooth"": 0.081, ""corner"": 820.323}",6753.6,14544,3740,524.8,0,0.0
config_012,"{""empty"": 282.344, ""mono"": 1.197, ""smooth"": 0.091, ""corner"": 1124.285}",9284.0,17604,1932,608.0,0,0.0
config_013,"{""empty"": 259.505, ""mono"": 1.156, ""smooth"": 0.091, ""corner"": 1179.531}",7549.8,16828,2500,524.8,0,0.0
config_014,"{""empty"": 214.073, ""mono"": 0.834, ""smooth"": 0.08, ""corner"": 842.982}",7000.6,15336,1464,524.8,0,0.0
config_015,"{""empty"": 225.837, ""mono"": 1.183, ""smooth"": 0.113, ""corner"": 913.511}",6891.6,16932,2920,512.0,0,0.0
config_016,"{""empty"": 214.841, ""mono"": 1.13, ""smooth"": 0.111, ""corner"": 1091.883}",6619.0,17160,1624,492.8,0,0.0
config_017,"{""empty"": 224.471, ""mono"": 0.835, ""smooth"": 0.106, ""corner"": 803.36}",7684.6,14956,2416,582.4,0,0.0
config_018,"{""empty"": 240.136, ""mono"": 0.842, ""smooth"": 0.113, ""corner"": 954.022}",8134.2,17372,3236,576.0,0,0.0
config_019,"{""empty"": 244.167, ""mono"": 1.197, ""smooth"": 0.114, ""corner"": 997.137}",6724.0,14196,1376,492.8,0,0.0
config_020,"{""empty"": 290.86, ""mono"": 0.946, ""smooth"": 0.087, ""corner"": 1073.11}",6892.4,15756,1508,492.8,0,0.0
config_021,"{""empty"": 254.645, ""mono"": 0.847, ""smooth"": 0.083, ""corner"": 943.043}",6697.0,16832,3092,499.2,0,0.0
config_022,"{""empty"": 239.644, ""mono"": 0.885, ""smooth"": 0.1, ""corner"": 882.226}",7444.0,12632,3380,563.2,0,0.0
config_023,"{""empty"": 250.192, ""mono"": 0.914, ""smooth"": 0.12, ""corner"": 859.848}",8266.0,14600,2084,633.6,0,0.0
config_024,"{""empty"": 240.604, ""mono"": 1.145, ""smooth"": 0.105, ""corner"": 1094.035}",8234.2,20296,1792,608.0,1,5.0
config_025,"{""empty"": 206.557, ""mono"": 1.093, ""smooth"": 0.104, ""corner"": 896.554}",8386.6,14660,3556,614.4,0,0.0
config_026,"{""empty"": 284.49, ""mono"": 0.914, ""smooth"": 0.109, ""corner"": 1048.719}",9164.2,18692,1856,646.4,0,0.0
config_027,"{""empty"": 226.021, ""mono"": 1.014, ""smooth"": 0.089, ""corner"": 974.111}",7111.2,14372,1732,556.8,0,0.0
config_028,"{""empty"": 259.987, ""mono"": 0.829, ""smooth"": 0.1, ""corner"": 816.958}",6746.8,15232,2480,499.2,0,0.0
config_029,"{""empty"": 286.69, ""mono"": 0.809, ""smooth"": 0.086, ""corner"": 1144.659}",7060.4,17688,3596,486.4,0,0.0
config_030,"{""empty"": 222.338, ""mono"": 1.08, ""smooth"": 0.103, ""corner"": 1162.288}",6573.4,16560,1752,441.6,0,0.0
